Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn
2010-5-20,93.0,79.1,67.6,73.8,70.0,66.7,98,76,47,30.04,29.92,7,1,7,0.00 
2010-5-21,92.8,79.2,70.3,75.4,71.6,67.5,97,80,48,30.07,29.99,7,1,9,0.01 
2010-5-22,94.5,79.8,69.8,74.8,70.1,64.9,98,76,40,30.09,29.98,10,1,10,0.01 
2010-5-23,92.8,79.6,70.0,73.4,69.8,64.9,97,74,45,30.07,29.94,7,1,10,0.00 
2010-5-24,91.8,76.6,69.6,73.4,70.2,66.7,96,82,46,30.01,29.90,10,1,19,0.10 
2010-5-25,85.8,74.4,68.4,71.8,68.0,65.1,97,82,54,29.99,29.93,13,2,15,0.00 
2010-5-26,87.6,75.9,64.8,68.0,64.0,55.2,97,70,35,29.96,29.82,11,2,13,0.00 
2010-5-27,91.8,79.7,67.6,68.7,65.7,62.2,91,65,42,29.86,29.75,9,1,10,0.00 
2010-5-28,94.3,78.0,68.7,73.8,68.7,63.3,96,76,40,29.83,29.75,9,1,12,0.00 
2010-5-29,92.7,75.3,68.7,72.5,69.8,66.0,97,85,45,29.93,29.80,12,0,16,0.30 
2010-5-30,92.7,78.5,70.2,75.6,72.2,69.4,99,83,50,30.01,29.89,8,1,8,0.01 
2010-5-31,93.6,80.0,73.0,76.8,73.4,70.2,97,82,51,30.05,29.96,8,1,9,0.25 
2010-6-1,93.0,79.8,68.7,75.2,71.0,64.2,98,78,40,30.04,29.90,8,1,8,0.25 
2010-6-2,93.9,80.9,71.2,75.7,71.4,66.7,97,75,45,29.97,29.84,7,1,8,0.00 
2010-6-3,93.6,79.8,71.1,76.5,72.3,67.8,97,80,50,29.94,29.86,11,1,13,0.02 
2010-6-4,90.3,79.2,72.3,78.8,72.8,68.2,92,81,64,29.99,29.89,9,1,11,0.01 
2010-6-5,93.4,83.2,77.2,82.6,77.6,73.9,97,84,61,30.03,29.94,10,1,13,0.05 
2010-6-6,90.5,79.8,73.6,81.5,76.8,72.0,96,91,73,30.03,29.89,7,1,9,0.17 
2010-6-7,94.5,83.4,75.2,79.0,75.6,64.8,96,80,40,30.01,29.87,8,1,12,0.00 
